web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752751708-48,""https://sn.coinafrique.com/categorie/chiens?page=10"",""990 000CFA"",""Chiots akita américain"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-akita-americain-1536386"""
"1752751708-49,""https://sn.coinafrique.com/categorie/chiens?page=10"",""100 000CFA"",""Caniche"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/caniche-1502366"""
"1752751708-50,""https://sn.coinafrique.com/categorie/chiens?page=10"",""100 000CFA"",""Caniches"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/caniches-1502318"""
"1752751708-51,""https://sn.coinafrique.com/categorie/chiens?page=10"",""100 000CFA"",""Caniche"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/caniche-1502314"""
"1752751708-52,""https://sn.coinafrique.com/categorie/chiens?page=10"",""350 000CFA"",""Chiots husky sibérien - dog argentin - cane corso"",""Keur Massar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-husky-siberien-dog-argentin-cane-corso-1477206"""
"1752751708-53,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Spitz nain"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/spitz-nain-1455313"""
"1752751708-54,""https://sn.coinafrique.com/categorie/chiens?page=10"",""990 000CFA"",""Chiots Chowchow"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-chowchow-1444195"""
"1752751708-55,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Bebé Lhasa Apso"",""Mbour, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/bebe-lhasa-apso-1426072"""
"1752751708-56,""https://sn.coinafrique.com/categorie/chiens?page=10"",""450 000CFA"",""Chiots Dalmatiens"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-dalmatiens-1396092"""
"1752751708-57,""https://sn.coinafrique.com/categorie/chiens?page=10"",""350 000CFA"",""Chiot Berger Allemand"",""Parcelle Assainies, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1387279"""
"1752751708-58,""https://sn.coinafrique.com/categorie/chiens?page=10"",""250 000CFA"",""Chiots Shih-Tzu"",""Point E, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-shih-tzu-1381280"""
"1752751708-59,""https://sn.coinafrique.com/categorie/chiens?page=10"",""150 000CFA"",""Chien Pitbull"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chien-pitbull-1339794"""
"1752751708-60,""https://sn.coinafrique.com/categorie/chiens?page=10"",""500 000CFA"",""Chiots Cane Corso"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-1279844"""
"1752751708-61,""https://sn.coinafrique.com/categorie/chiens?page=10"",""170 000CFA"",""Bichon maltais"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltais-1208713"""
"1752751708-62,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Bergers - labrador - pitbull - rottweiler"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/bergers-labrador-pitbull-rottweiler-1184876"""
"1752751708-63,""https://sn.coinafrique.com/categorie/chiens?page=10"",""180 000CFA"",""Bichons malté"",""Cambérène, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/bichons-malte-1176190"""
"1752751708-64,""https://sn.coinafrique.com/categorie/chiens?page=10"",""200 000CFA"",""Berger blanc"",""Thies, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/berger-blanc-1163882"""
"1752751708-65,""https://sn.coinafrique.com/categorie/chiens?page=10"",""125 000CFA"",""Chiots Berger Allemand de race pure"",""Grand Yoff, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-de-race-pure-1148739"""
"1752751708-66,""https://sn.coinafrique.com/categorie/chiens?page=10"",""90 000CFA"",""Pitbull"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/pitbull-1139092"""
"1752751708-67,""https://sn.coinafrique.com/categorie/chiens?page=10"",""350 000CFA"",""Chiots Berger Allemand"",""Parcelle Assainies, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-1123229"""
"1752751708-68,""https://sn.coinafrique.com/categorie/chiens?page=10"",""375 000CFA"",""Chien Rottweiler"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chien-rottweiler-1122493"""
"1752751708-69,""https://sn.coinafrique.com/categorie/chiens?page=10"",""200 000CFA"",""Chiot berger allemand"",""Patte d'oie, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1115802"""
"1752751708-70,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiot akita américain"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-akita-americain-1106542"""
"1752751708-71,""https://sn.coinafrique.com/categorie/chiens?page=10"",""350 000CFA"",""Chiots"",""Les Parcelles Assainies, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-1000525"""
"1752751708-72,""https://sn.coinafrique.com/categorie/chiens?page=10"",""400 000CFA"",""Boerboel femelle"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/boerboel-femelle-989796"""
"1752751708-73,""https://sn.coinafrique.com/categorie/chiens?page=10"",""800 000CFA"",""Chiot Cane Corso"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-956906"""
"1752751708-74,""https://sn.coinafrique.com/categorie/chiens?page=10"",""250 000CFA"",""Pitbull black nose"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/pitbull-black-nose-900600"""
"1752751708-75,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiots Cane Corso"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-891450"""
"1752751708-76,""https://sn.coinafrique.com/categorie/chiens?page=10"",""200 000CFA"",""Chien berger allemand à poil long"",""Hann Bel-Air, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-a-poil-long-848994"""
"1752751708-77,""https://sn.coinafrique.com/categorie/chiens?page=10"",""190 000CFA"",""Caniche bichons maltais"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/caniche-bichons-maltais-788455"""
"1752751708-78,""https://sn.coinafrique.com/categorie/chiens?page=10"",""220 000CFA"",""Pitbull Red Nose"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/pitbull-red-nose-778978"""
"1752751708-79,""https://sn.coinafrique.com/categorie/chiens?page=10"",""450 000CFA"",""Chiot Boerboel"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border6années"",""https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-751964"""
"1752751708-80,""https://sn.coinafrique.com/categorie/chiens?page=10"",""200 000CFA"",""Caniche bichon"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border6années"",""https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558"""
"1752751708-81,""https://sn.coinafrique.com/categorie/chiens?page=10"",""250 000CFA"",""Chiots Pitbull"",""Grand Yoff, Dakar, Sénégal"",""favorite_border6années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716"""
"1752751708-82,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Pitt Bull red nose femelle"",""Dakar, Sénégal"",""favorite_border6années"",""https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530"""
"1752751717-83,""https://sn.coinafrique.com/categorie/chiens?page=9"",""350 000CFA"",""Berger allemand"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-2863494"""
"1752751717-84,""https://sn.coinafrique.com/categorie/chiens?page=9"",""100 000CFA"",""Chiot mâle Berger allemand"",""Thies, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-male-berger-allemand-2862580"""
"1752751717-85,""https://sn.coinafrique.com/categorie/chiens?page=9"",""75 000CFA"",""Chiot berger allemand / Rottweiller"",""Thies, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-rottweiller-2861530"""
"1752751717-86,""https://sn.coinafrique.com/categorie/chiens?page=9"",""150 000CFA"",""Berger allemand"",""Almadies, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-2835075"""
"1752751717-87,""https://sn.coinafrique.com/categorie/chiens?page=9"",""250 000CFA"",""Bichamon Maltais"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/bichamon-maltais-2823458"""
"1752751717-88,""https://sn.coinafrique.com/categorie/chiens?page=9"",""500 000CFA"",""Rott royal 10"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/rott-royal-10-2812803"""
"1752751717-89,""https://sn.coinafrique.com/categorie/chiens?page=9"",""Prix sur demande"",""Chien malinois"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-malinois-2795793"""
"1752751717-90,""https://sn.coinafrique.com/categorie/chiens?page=9"",""175 000CFA"",""Chiots pitbull"",""Saint Louis, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-2795342"""
"1752751717-91,""https://sn.coinafrique.com/categorie/chiens?page=9"",""200 000CFA"",""Chiots berger allemand"",""Thies, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2784090"""
"1752751717-92,""https://sn.coinafrique.com/categorie/chiens?page=9"",""160 000CFA"",""Chiots Pitbull"",""Thies, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-2784073"""
"1752751717-93,""https://sn.coinafrique.com/categorie/chiens?page=9"",""Prix sur demande"",""Chiots"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-2766184"""
"1752751717-94,""https://sn.coinafrique.com/categorie/chiens?page=9"",""250 000CFA"",""Chiots Bergers allemands pur sang - lignée de travail"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-pur-sang-lignee-de-travail-2762158"""
