web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752751747-420,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiots Berger Allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4203328"""
"1752751747-421,""https://sn.coinafrique.com/categorie/chiens?page=5"",""300 000CFA"",""Chien"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-4198141"""
"1752751747-422,""https://sn.coinafrique.com/categorie/chiens?page=5"",""300 000CFA"",""Chienne malinois"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chienne-malinois-4192516"""
"1752751747-423,""https://sn.coinafrique.com/categorie/chiens?page=5"",""250 000CFA"",""Chienne malinoise"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chienne-malinoise-4191047"""
"1752751747-424,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiens"",""Lac rose, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiens-4190505"""
"1752751747-425,""https://sn.coinafrique.com/categorie/chiens?page=5"",""130 000CFA"",""Chiot berger malinois"",""Mariste, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4189681"""
"1752751747-426,""https://sn.coinafrique.com/categorie/chiens?page=5"",""Prix sur demande"",""Chien Malinois"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-malinois-4186380"""
"1752751747-427,""https://sn.coinafrique.com/categorie/chiens?page=5"",""Prix sur demande"",""Chiens Labrador"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiens-labrador-4186378"""
"1752751747-428,""https://sn.coinafrique.com/categorie/chiens?page=5"",""200 000CFA"",""Chiot Malinois"",""Rufisque, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4186165"""
"1752751747-429,""https://sn.coinafrique.com/categorie/chiens?page=5"",""100 000CFA"",""Chiot pitbull"",""Guediawaye, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4180447"""
"1752751747-430,""https://sn.coinafrique.com/categorie/chiens?page=5"",""100 000CFA"",""Chiot Bichon Maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4178317"""
"1752751747-431,""https://sn.coinafrique.com/categorie/chiens?page=5"",""200 000CFA"",""Chiots bergers allemands"",""Saly, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-4176841"""
"1752751747-432,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiot"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-4174428"""
"1752751747-433,""https://sn.coinafrique.com/categorie/chiens?page=5"",""200 000CFA"",""Chiens berger allemand"",""Keur Massar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiens-berger-allemand-4172538"""
"1752751747-434,""https://sn.coinafrique.com/categorie/chiens?page=5"",""Prix sur demande"",""Chiot Berger allemand"",""Almadies, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4171222"""
"1752751747-435,""https://sn.coinafrique.com/categorie/chiens?page=5"",""300 000CFA"",""Chiot  Caniche"",""Ngor, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4169389"""
"1752751747-436,""https://sn.coinafrique.com/categorie/chiens?page=5"",""400 000CFA"",""Chiots labrador"",""Rufisque, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-labrador-4167214"""
"1752751747-437,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150CFA"",""Chiot Bichon"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4165184"""
"1752751747-438,""https://sn.coinafrique.com/categorie/chiens?page=5"",""200 000CFA"",""Chiots  Malinois"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4162884"""
"1752751747-439,""https://sn.coinafrique.com/categorie/chiens?page=5"",""350 000CFA"",""Chiots  Malinois"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4159449"""
"1752751747-440,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiots Malinois"",""Rufisque, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4158059"""
"1752751747-441,""https://sn.coinafrique.com/categorie/chiens?page=5"",""120 000CFA"",""Chiots"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-4149988"""
"1752751747-442,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiot Bichon"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4149942"""
"1752751747-443,""https://sn.coinafrique.com/categorie/chiens?page=5"",""175 000CFA"",""Chien Jack russell"",""Mariste, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-jack-russell-4142083"""
"1752751747-444,""https://sn.coinafrique.com/categorie/chiens?page=5"",""750 000CFA"",""Chiot Labrador"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-4141864"""
"1752751747-445,""https://sn.coinafrique.com/categorie/chiens?page=5"",""125 000CFA"",""Chiot Berger Allemand"",""Diamniadio, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4141061"""
"1752751747-446,""https://sn.coinafrique.com/categorie/chiens?page=5"",""70 000CFA"",""Chiot Bichon"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4137626"""
"1752751747-447,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiots berger allemand"",""Diamniadio, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4135756"""
"1752751747-448,""https://sn.coinafrique.com/categorie/chiens?page=5"",""250CFA"",""Chiot Mal Bichon"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-mal-bichon-4134271"""
"1752751747-449,""https://sn.coinafrique.com/categorie/chiens?page=5"",""100 000CFA"",""Chiots Berger Allemand"",""Keur Massar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4131053"""
"1752751747-450,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiot  berger"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-4130159"""
"1752751747-451,""https://sn.coinafrique.com/categorie/chiens?page=5"",""280 000CFA"",""Chiots malinois"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4126440"""
"1752751747-452,""https://sn.coinafrique.com/categorie/chiens?page=5"",""700 000CFA"",""Chienne Golden Retriever"",""Almadies, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chienne-golden-retriever-4126336"""
"1752751747-453,""https://sn.coinafrique.com/categorie/chiens?page=5"",""650 000CFA"",""Chienne Labrador"",""Almadies, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chienne-labrador-4126334"""
"1752751747-454,""https://sn.coinafrique.com/categorie/chiens?page=5"",""1 350 000CFA"",""Chiens Rottweiler"",""Almadies, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiens-rottweiler-4126333"""
"1752751747-455,""https://sn.coinafrique.com/categorie/chiens?page=5"",""Prix sur demande"",""Chiot Bichon Maltais"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4125861"""
"1752751747-456,""https://sn.coinafrique.com/categorie/chiens?page=5"",""Prix sur demande"",""Chiots Berger allemand"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4125859"""
"1752751747-457,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chien Bichon"",""Ouakam, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-bichon-4124637"""
"1752751747-458,""https://sn.coinafrique.com/categorie/chiens?page=5"",""140 000CFA"",""Chien berger allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4121621"""
"1752751747-459,""https://sn.coinafrique.com/categorie/chiens?page=5"",""130 000CFA"",""Chiot bichon maltais"",""Grand Yoff, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4118672"""
"1752751747-460,""https://sn.coinafrique.com/categorie/chiens?page=5"",""280 000CFA"",""Chiots malinois"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4118286"""
"1752751747-461,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiot Caniche bichon"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-caniche-bichon-4117078"""
"1752751747-462,""https://sn.coinafrique.com/categorie/chiens?page=5"",""100 000CFA"",""Chiot mâle bichon"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-male-bichon-4108812"""
"1752751747-463,""https://sn.coinafrique.com/categorie/chiens?page=5"",""Prix sur demande"",""Chiot Spitz Nain Pomeranien"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-spitz-nain-pomeranien-4105901"""
"1752751747-464,""https://sn.coinafrique.com/categorie/chiens?page=5"",""700 000CFA"",""Chiot berger malinois"",""Rufisque, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4085335"""
"1752751747-465,""https://sn.coinafrique.com/categorie/chiens?page=5"",""300 000CFA"",""Chien berger allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4080591"""
"1752751747-466,""https://sn.coinafrique.com/categorie/chiens?page=5"",""100 000CFA"",""Chiots Pitbull"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4078372"""
"1752751747-467,""https://sn.coinafrique.com/categorie/chiens?page=5"",""130 000CFA"",""Chiots Bichons"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4077248"""
"1752751747-468,""https://sn.coinafrique.com/categorie/chiens?page=5"",""100 000CFA"",""Chiots Pitbull"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4070065"""
"1752751747-469,""https://sn.coinafrique.com/categorie/chiens?page=5"",""Prix sur demande"",""Chiot husky sibérien"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-siberien-4063809"""
"1752751747-470,""https://sn.coinafrique.com/categorie/chiens?page=5"",""650 000CFA"",""Chiot Golden Retriever"",""Fann, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-golden-retriever-4059349"""
"1752751747-471,""https://sn.coinafrique.com/categorie/chiens?page=5"",""160 000CFA"",""Chiots bergers allemands"",""Keur Massar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-4057130"""
"1752751747-472,""https://sn.coinafrique.com/categorie/chiens?page=5"",""Prix sur demande"",""Chiots Bulldog français"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bulldog-francais-4056315"""
"1752751747-473,""https://sn.coinafrique.com/categorie/chiens?page=5"",""200 000CFA"",""Chiot Rottweiller"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-4051242"""
"1752751747-474,""https://sn.coinafrique.com/categorie/chiens?page=5"",""200 000CFA"",""Chiot Bichon"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4048503"""
"1752751747-475,""https://sn.coinafrique.com/categorie/chiens?page=5"",""130 000CFA"",""Chiots Bichons"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4048333"""
"1752751747-476,""https://sn.coinafrique.com/categorie/chiens?page=5"",""180 000CFA"",""Chiots berger allemand"",""Cambérène, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4047402"""
"1752751747-477,""https://sn.coinafrique.com/categorie/chiens?page=5"",""130 000CFA"",""Chiots Berger Allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4044025"""
"1752751747-478,""https://sn.coinafrique.com/categorie/chiens?page=5"",""130 000CFA"",""Chiots Bichons"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4041802"""
"1752751747-479,""https://sn.coinafrique.com/categorie/chiens?page=5"",""130 000CFA"",""Chiots bichons"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4041795"""
"1752751747-480,""https://sn.coinafrique.com/categorie/chiens?page=5"",""350 000CFA"",""Chiots cane corso"",""Saly, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-4034427"""
"1752751747-481,""https://sn.coinafrique.com/categorie/chiens?page=5"",""130 000CFA"",""Chiots bichon"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichon-4027584"""
"1752751747-482,""https://sn.coinafrique.com/categorie/chiens?page=5"",""30 000CFA"",""Chiots Bichons"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4025449"""
"1752751747-483,""https://sn.coinafrique.com/categorie/chiens?page=5"",""130 000CFA"",""Chiot Bichon"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4025445"""
"1752751747-484,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiots Husky"",""Cambérène, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-husky-4023358"""
"1752751747-485,""https://sn.coinafrique.com/categorie/chiens?page=5"",""200 000CFA"",""Chiot Husky"",""Cambérène, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-4018249"""
"1752751747-486,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiot Berger Allemand"",""Colobane, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4005622"""
"1752751747-487,""https://sn.coinafrique.com/categorie/chiens?page=5"",""120 000CFA"",""Mâle Pitbull"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/male-pitbull-3997099"""
"1752751747-488,""https://sn.coinafrique.com/categorie/chiens?page=5"",""250 000CFA"",""Femelle Berger Allemand"",""Thies, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/femelle-berger-allemand-3989786"""
"1752751747-489,""https://sn.coinafrique.com/categorie/chiens?page=5"",""120 000CFA"",""Chiot Bichon Maltais"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-3975894"""
"1752751747-490,""https://sn.coinafrique.com/categorie/chiens?page=5"",""250 000CFA"",""Chiots"",""Cambérène, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-3962314"""
"1752751747-491,""https://sn.coinafrique.com/categorie/chiens?page=5"",""1 200 000CFA"",""Berger Malinois"",""Pikine, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/berger-malinois-3961682"""
"1752751747-492,""https://sn.coinafrique.com/categorie/chiens?page=5"",""1 200 000CFA"",""Berger Malinois"",""Pikine, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/berger-malinois-3961680"""
"1752751747-493,""https://sn.coinafrique.com/categorie/chiens?page=5"",""500 000CFA"",""Femelle Husky"",""Pikine, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/femelle-husky-3950534"""
"1752751747-494,""https://sn.coinafrique.com/categorie/chiens?page=5"",""600 000CFA"",""Mâle Boerbull"",""Pikine, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/male-boerbull-3950528"""
"1752751747-495,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiots  Berger Allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3940749"""
"1752751747-496,""https://sn.coinafrique.com/categorie/chiens?page=5"",""200 000CFA"",""Bergers Belges Malinois"",""Ouakam, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/bergers-belges-malinois-3939343"""
"1752751747-497,""https://sn.coinafrique.com/categorie/chiens?page=5"",""300 000CFA"",""Bichon maltais"",""Yoff, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltais-3936588"""
"1752751747-498,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiot Berger Allemand"",""Thies, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3919086"""
"1752751747-499,""https://sn.coinafrique.com/categorie/chiens?page=5"",""150 000CFA"",""Chiot Béninois Marocain"",""Yoff, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-beninois-marocain-3917424"""
"1752751747-500,""https://sn.coinafrique.com/categorie/chiens?page=5"",""200 000CFA"",""Chiot berger allemand mâle"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-male-3910219"""
"1752751747-501,""https://sn.coinafrique.com/categorie/chiens?page=5"",""250 000CFA"",""Chiots Rottweilers"",""Ouest Foire, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-rottweilers-3905906"""
"1752751747-502,""https://sn.coinafrique.com/categorie/chiens?page=5"",""250 000CFA"",""Chien Berger Allemand"",""Keur Massar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-3900127"""
"1752751755-503,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiots Bichon Maltais"",""Lac rose, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichon-maltais-4491233"""
"1752751755-504,""https://sn.coinafrique.com/categorie/chiens?page=4"",""275CFA"",""Chiot Malinois"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4482375"""
"1752751755-505,""https://sn.coinafrique.com/categorie/chiens?page=4"",""350 000CFA"",""Chiot Rottweiler"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-4482373"""
"1752751755-506,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chien Kangal"",""Saly, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chien-kangal-4473735"""
"1752751755-507,""https://sn.coinafrique.com/categorie/chiens?page=4"",""175 000CFA"",""Chiot Bichon"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4463994"""
"1752751755-508,""https://sn.coinafrique.com/categorie/chiens?page=4"",""250 000CFA"",""Chiot Malinois"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4463659"""
"1752751755-509,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiot Caniche"",""Fass, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4456414"""
"1752751755-510,""https://sn.coinafrique.com/categorie/chiens?page=4"",""170 000CFA"",""Femelles Bichon Maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/femelles-bichon-maltais-4436255"""
"1752751755-511,""https://sn.coinafrique.com/categorie/chiens?page=4"",""200 000CFA"",""Chien Berger Allemand"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4413898"""
"1752751755-512,""https://sn.coinafrique.com/categorie/chiens?page=4"",""300 000CFA"",""Chien Berger Allemand"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4413893"""
"1752751755-513,""https://sn.coinafrique.com/categorie/chiens?page=4"",""300 000CFA"",""Chien"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chien-4413890"""
"1752751755-514,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiot"",""Ngor, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-4408048"""
"1752751755-515,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiot Presa Canario"",""Pikine, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-presa-canario-4407651"""
"1752751755-516,""https://sn.coinafrique.com/categorie/chiens?page=4"",""180 000CFA"",""Chiot Bichon"",""Grand Yoff, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4405915"""
"1752751755-517,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiots Bichon Maltais"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichon-maltais-4405536"""
"1752751755-518,""https://sn.coinafrique.com/categorie/chiens?page=4"",""120 000CFA"",""Chiot Caniche"",""Grand Yoff, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4404913"""
"1752751755-519,""https://sn.coinafrique.com/categorie/chiens?page=4"",""130 000CFA"",""Chien Malinois"",""Mamelles, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chien-malinois-4399201"""
"1752751755-520,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiot Pitbull"",""Sicap foire, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4397460"""
"1752751755-521,""https://sn.coinafrique.com/categorie/chiens?page=4"",""200 000CFA"",""Chiot Cane Corso"",""Sicap foire, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-4397456"""
"1752751755-522,""https://sn.coinafrique.com/categorie/chiens?page=4"",""400 000CFA"",""Chiot Boerboel"",""Sicap foire, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-4397438"""
"1752751755-523,""https://sn.coinafrique.com/categorie/chiens?page=4"",""300 000CFA"",""Chiot Berger allemand"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4396584"""
"1752751755-524,""https://sn.coinafrique.com/categorie/chiens?page=4"",""180 000CFA"",""Chiot Bichon Maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4396239"""
"1752751755-525,""https://sn.coinafrique.com/categorie/chiens?page=4"",""160 000CFA"",""Chiot Bichon femelle"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-femelle-4391785"""
"1752751755-526,""https://sn.coinafrique.com/categorie/chiens?page=4"",""400 000CFA"",""Chiots Husky"",""Mariste, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-husky-4390232"""
"1752751755-527,""https://sn.coinafrique.com/categorie/chiens?page=4"",""180 000CFA"",""Chiot Bichon"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4380821"""
"1752751755-528,""https://sn.coinafrique.com/categorie/chiens?page=4"",""170 000CFA"",""Chiots  Berger Malinois"",""Ngor, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-malinois-4375184"""
"1752751755-529,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiots Berger Allemand"",""Grand Yoff, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4372068"""
"1752751755-530,""https://sn.coinafrique.com/categorie/chiens?page=4"",""300 000CFA"",""Chiot Berger Allemand"",""Keur Massar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4364394"""
"1752751755-531,""https://sn.coinafrique.com/categorie/chiens?page=4"",""600 000CFA"",""Chiot Labrador"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-4362528"""
"1752751755-532,""https://sn.coinafrique.com/categorie/chiens?page=4"",""160 000CFA"",""Chiot Bichon"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4359376"""
"1752751755-533,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Vente chiot pittbull  femelle"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/vente-chiot-pittbull-femelle-4351149"""
"1752751755-534,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiot Berger allemand"",""Mbour, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4351042"""
