web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762976-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","3 000CFA","Poulets","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-2001942"
"1752762976-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","Oie","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oie-1997244"
"1752762976-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","50 000CFA","Couple Laor","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-laor-1995210"
"1752762976-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","50 000CFA","Couple  Laor","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-laor-1995183"
"1752762976-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","50 000CFA","Pigeons","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1995134"
"1752762976-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","50 000CFA","Couple Laor","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-laor-1995115"
"1752762976-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","Pigeon","Guediawaye, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-1992182"
"1752762976-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","Poussins  brahman colombia","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-brahman-colombia-1990096"
"1752762976-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 500CFA","Poulets de chair","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chair-1988804"
"1752762976-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","Couple Brahman","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-brahman-1975396"
"1752762976-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","650CFA","Poussins nés le 8 avril","Saly, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-nes-le-8-avril-1971696"
"1752762976-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 400CFA","Poulets","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1963033"
"1752762976-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 400CFA","Poulets","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1963021"
"1752762976-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 500CFA","Poulets de chairs","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-de-chairs-1934126"
"1752762976-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 750CFA","Poulets","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-1918730"
"1752762976-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","Lapins","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-1913175"
"1752762976-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","Orpington","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/orpington-1913036"
"1752762976-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","3 000CFA","Poulet","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-1907954"
"1752762976-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","Coq Orpitone","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpitone-1890489"
"1752762976-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","Pigeons King","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-king-1890193"
"1752762976-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","Pigeons Laor","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-laor-1890181"
"1752762976-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","Pigeons","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1890093"
"1752762976-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","Pigeon paon","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-paon-1890068"
"1752762976-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 500CFA","Poulet de chair","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1888745"
"1752762976-74","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Prix sur demande","Pigeons Mondain / boulan","Louga, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-mondain-boulan-1856511"
"1752762976-75","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","3 000CFA","Poulet de chair","Rufisque, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1842198"
"1752762976-76","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","13 000CFA","Pigeon voyageur","Dakar-Plateau, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831100"
"1752762976-77","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","13 000CFA","Pigeon voyageur","Dakar-Plateau, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1831098"
"1752762976-78","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","40 000CFA","Cop Brahma","Parcelle Assainies, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/cop-brahma-1812172"
"1752762976-79","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 700CFA","Poulet de chair","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-1804847"
"1752762976-80","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","Paon indien","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-indien-1804679"
"1752762976-81","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","60 000CFA","Pigeon texan - Paon indien","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804522"
"1752762976-82","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","60 000CFA","Pigeon texan paon indien","Grand Yoff, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-texan-paon-indien-1804515"
"1752762976-83","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","20 000CFA","Mâle bantam","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/male-bantam-1773437"
"1752762976-84","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","25 000CFA","Lapin Angora","Thies Nord, Thiès, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-1732205"
