web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762522-44","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chatons 2 et 3 mois","Grand Dakar, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2-et-3-mois-3222114"
"1752762522-45","https://sn.coinafrique.com/categorie/autres-animaux?page=5","20 000CFA","Perruches ondulées","Point E, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-3215371"
"1752762522-46","https://sn.coinafrique.com/categorie/autres-animaux?page=5","60 000CFA","Oies","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172011"
"1752762522-47","https://sn.coinafrique.com/categorie/autres-animaux?page=5","60 000CFA","Oies","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172006"
"1752762522-48","https://sn.coinafrique.com/categorie/autres-animaux?page=5","450 000CFA","Cheval","Pikine, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3169679"
"1752762522-49","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Cailles","Touba, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/cailles-3169648"
"1752762522-50","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Couple dinde","Touba, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/couple-dinde-3169645"
"1752762522-51","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Dinde","Touba, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/dinde-3165522"
"1752762522-52","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Paonneau","Mbao, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/paonneau-3164991"
"1752762522-53","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Rat","Almadies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/rat-3156125"
"1752762522-54","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Poisson vivant","Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/poisson-vivant-3140939"
"1752762522-55","https://sn.coinafrique.com/categorie/autres-animaux?page=5","800 000CFA","Boeuf","Bambey, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-3140204"
"1752762522-56","https://sn.coinafrique.com/categorie/autres-animaux?page=5","85 000CFA","Oie géant","Mbour, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/oie-geant-3133835"
"1752762522-57","https://sn.coinafrique.com/categorie/autres-animaux?page=5","30 000CFA","Couple colvert","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/couple-colvert-3127244"
"1752762522-58","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Oiseaux exotiques","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-3119376"
"1752762522-59","https://sn.coinafrique.com/categorie/autres-animaux?page=5","100 000CFA","Couple perruches ondulées","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/couple-perruches-ondulees-3116528"
"1752762522-60","https://sn.coinafrique.com/categorie/autres-animaux?page=5","300 000CFA","Vache","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/vache-3095614"
"1752762522-61","https://sn.coinafrique.com/categorie/autres-animaux?page=5","65 000CFA","Trio dindes d’amérique","Mbao, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/trio-dindes-damerique-3092550"
"1752762522-62","https://sn.coinafrique.com/categorie/autres-animaux?page=5","40 000CFA","Couple perruche arc en ciel","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/couple-perruche-arc-en-ciel-3092218"
"1752762522-63","https://sn.coinafrique.com/categorie/autres-animaux?page=5","2 000 000CFA","Taureau - géniteur laitier","Sicap Liberté, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3087054"
"1752762522-64","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Chaton","Almadies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/chaton-3054622"
"1752762522-65","https://sn.coinafrique.com/categorie/autres-animaux?page=5","650 000CFA","Cheval","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3053064"
"1752762522-66","https://sn.coinafrique.com/categorie/autres-animaux?page=5","2 000 000CFA","Taureau géniteur laitier","Sicap Liberté, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3039728"
"1752762522-67","https://sn.coinafrique.com/categorie/autres-animaux?page=5","25 000CFA","Oisillons","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/oisillons-3026572"
"1752762522-68","https://sn.coinafrique.com/categorie/autres-animaux?page=5","80 000CFA","Oie adulte","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/autres-animaux/oie-adulte-3025291"
